year,date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
2000,2000-01-01,1.8520738432030726,1.7347237111392815,1.3845114813147035,6.072509156536981,10.873538788522836,12.39480384963963,6.424547039033683,13.007855800279515,4.522292993630586,5.290867389491254,5.915661541294554,-0.2600104004160073,3.8119725001397313,0.9393548387096757,5.749486652977424,2.3748939779474085,5.748347497639287,4.391521790902587,3.6221084688653917,14.75451755881349,4.351251969882682,7.544270733300067,7.9317697228144795,10.68934998524928,5.718348484079016,2.7692656906139916,3.4756309187366554,3.0636604774535954,0.8059398400812086,3.582042859377438,12.375418994413408,7.723749662592084,0.1969895949085867,1.4606741573033588,8.211625882580506,2.8926801372474102,3.521431664020767,2.31020374426582,2.1651649024582156,8.154872749844813,4.303705717133283,2.98623734095041,2.17494991891634,6.433566433566426,5.818686401480107,-0.691794893295878,6.053067993366483,6.5898068578235325,5.545750480448703,6.71729245769464,0.3915842569854675,4.308971250432975
2001,2001-01-01,3.989878185135055,5.953635405690207,5.479071833018764,6.4304658960116114,13.63340106582831,10.54793994547478,8.98080438756854,13.493688161037198,7.293570993296768,9.134115550274771,7.906289390185606,7.299270072992712,5.6425994723523445,4.520120672904838,5.920264408180117,5.321896778595445,5.290769059046767,5.028060409727601,5.052526263131568,12.50092847062318,6.951086500545344,10.318962746008495,6.317661003555912,10.39889836531627,5.855790940097052,5.626725565985652,5.8792525155726025,5.919444086990097,5.174693106704439,4.399476492499744,12.655106586064264,9.475229095074454,3.9925391944346273,5.995886726783752,10.085210344416652,5.729239034783021,5.855290673358439,5.509775407981891,6.404932140257742,10.47062199583904,6.5844336344683825,5.940494200705999,5.02287368126224,7.333708779175268,7.662383075443671,4.7834163640969365,8.213882373381992,7.275992815805225,6.216788673776506,4.801019063515781,5.414518048393504,4.961147638971909
2002,2002-01-01,5.342085903457644,2.4637222548709303,3.0840482079890705,5.463607297348133,9.554978238132179,6.01945119833276,8.761445446285038,15.782353825341943,6.9504099960952885,9.576301941571415,4.757109481994675,6.543569808875944,3.9141735895214254,3.0575803532116907,6.385053436305483,3.188191198926461,4.61677091063288,3.358095486337362,3.470238095238102,11.791892248778552,8.993920376544423,8.90371041896006,4.753056598164179,9.443527944312564,5.704302051188975,2.8281666579538864,5.064035841969499,3.243834285020043,3.4656132160172604,3.606557377049185,11.94309115300429,11.029003040905081,2.63706432691842,5.970149253731336,9.42380037348778,3.6884527772910474,3.7666271565915963,4.039050535987741,5.88258962700678,13.93642237880313,3.638956805215969,4.28884234577302,2.8224731087207857,3.5212499271264335,6.033047785311197,1.1684596478504403,8.164412154296969,7.798199270779094,4.313602015113375,5.188817636950404,3.0981498902477256,6.707162743609203
2003,2003-01-01,3.943056674724673,4.2221830053825045,4.109868790524331,5.4792688363798305,12.965415293646657,3.4596861383219277,9.231708492657688,14.114630663377909,8.403863387434043,10.652038915338409,4.418041296573989,9.775007601094558,3.2517533964392555,4.011202886167297,5.341888175985332,2.6591928251121146,3.5719714242286074,3.5432078009415022,5.217741471552671,11.26466650917395,10.738448251043621,10.007135212272544,3.4660139066269267,7.963235294117666,4.731035074915212,3.131672597864778,4.987939352170926,3.338040323213292,5.021404604882534,2.7922561429635238,10.823425525875933,11.66215101896573,5.115004959146091,6.910798122065714,10.981672479038366,3.0882974228981794,4.2454626221601615,4.298068077276909,6.8364050921527735,15.628829547721509,3.6252113395981667,4.053128851157055,3.229153157826488,3.9927915751534613,6.470881035340952,1.8399776972400304,8.472186143169907,6.1503416856492095,4.1687627863299355,4.243535083874562,3.832349899628923,5.479127134724877
2004,2004-01-01,8.610264096335712,3.2214367353850264,4.697920753236559,7.887062006001926,15.623892478394822,2.8341619430634353,9.739954109548748,15.13324421944769,11.867364746945896,13.06120921879679,3.954927087936369,16.583575682038514,4.370131103933119,4.276390853908978,6.783377418905758,2.647097366007074,4.006457293806889,4.335295311548592,4.816839803171135,9.752645174988501,14.048485636292725,10.72374466245067,3.833361906394657,8.516651910372545,5.50112728018037,3.0710835058661132,8.927545745466475,3.2340102486240454,6.037236972568039,3.8391886997464866,9.865968526792045,12.422196434222997,5.679367361610346,17.06042508343579,10.90905038889261,3.549034875619867,4.1395263894807215,6.276682073175039,8.316141424201476,16.27683434796539,3.7146651489280913,4.733078913892186,3.4380234505862575,2.052420665005954,7.329089797533001,1.6972351491924371,11.019500513171394,11.10027311744048,6.2846104314230615,6.574420915832107,4.979787919620378,7.892961547110417
2005,2005-01-01,11.48227456578634,5.37237532808399,6.608899297423903,21.085210577864828,26.829670847873246,4.221839009669253,13.411070902023852,23.696951731633817,14.752169034129764,22.54872762169495,4.980517180304631,25.69044366573617,4.769706899690519,11.510854341736703,9.37062025357713,3.251202178816115,4.336578712196044,4.746527642687639,5.7482656095143625,11.371916814444631,21.390511468870216,13.241396143519651,4.035267311693033,9.003043901214426,6.799549287018692,4.471758572863351,11.18267419962335,5.349854763392997,7.423376623376626,4.992152075340073,12.168462494819735,16.22014732792192,9.166666666666686,32.75312300709007,13.71418237350801,3.7954644397831174,4.015899924007726,13.38888520018591,11.56245895179299,17.088835661445188,6.504719397087882,6.868822248282797,5.2507995627707515,3.502255240116753,11.107388172223168,6.04114593347434,18.831468984006676,15.136084284460068,13.283048588392106,8.991464026970803,8.136614766449028,10.90037515631515
2006,2006-01-01,12.485060611234402,8.753016268389516,7.55678572997671,32.71750736079207,18.4231562900857,4.272418377899271,9.761747187293196,19.478781827259112,13.48057337753717,25.596089973807153,5.429207720340116,23.161252215002932,3.649000868809722,19.821022058246314,7.760162117058059,2.6460042039319234,3.6289050173556205,4.572298777996522,10.78281458096977,4.78547854785478,19.19628186470119,7.567625821748038,0.7586097444849997,5.6108935974205565,5.453487102994131,8.134956967588366,12.869677157085263,7.542230908837084,7.374631268436588,2.6037124704123613,6.832771440447047,13.788857488897861,14.901074933790312,15.640895218718214,11.203194854305451,1.8836269351025834,5.546813532651456,20.240081979212405,10.991081152680067,9.055196509712331,8.10662269854356,5.55729738203479,7.650588506808219,5.6395795949756575,10.449336550060309,14.360313315926902,16.417716923396085,10.924711504244812,18.64320667433215,5.538188160189563,10.187335500851518,12.680887051306144
2007,2007-01-01,6.530565779987114,5.987188204559274,4.305379682202528,3.4276798556766437,-0.800615374954873,2.094018304950268,1.8454713811964325,4.788647645790519,4.825658378696488,2.9691262469900153,4.176668266922718,3.654465930018432,2.3595976529756797,10.862159329140468,3.290929203539818,1.746637221441489,3.306072733600132,2.7100944803580376,7.5648960327708465,-2.472717226136197,5.06695549428909,2.1680759828477676,-2.6776713709677438,1.1857707509881408,2.7496032567446207,8.4247068286694,9.61942493547032,6.666017589978267,6.570888128265182,1.918406993686233,-0.6916675672754735,2.3646910645544637,10.385736560233227,-0.4325196099992752,1.9815353323481304,-0.16841317365269504,4.824024279857312,9.998052011298327,4.383801416182692,-0.41001975398813784,6.424758515505829,4.7412192767505985,6.127845070925787,5.857801504489203,3.270989761092153,16.381278538812765,4.35034415164948,4.906049495875337,10.784556785142783,2.0079820404090896,2.2387710177509206,11.528999708126591
2008,2008-01-01,0.3633254969010409,3.069286871961083,0.8693949481104539,-7.962286387743063,-14.256777072684386,0.2608936996947051,-1.8712337456390742,-3.0704692634063804,-0.8120300751879768,-10.943144092038509,0.4761904761904816,-1.7840949049654853,1.9285100110551667,0.7357286372769067,-1.2315930388219698,0.8405682715074931,1.5959238672730578,1.642632361586621,2.115241327924494,-3.8286118980170016,-3.3343954416808685,0.4746214795638082,-5.55123972292354,-3.103448275862064,0.14437766511096584,1.429073445004093,4.0002190400569475,2.9786716159065207,4.02738452436293,0.91732189659281,-2.2896941995864495,-2.897546097324266,1.8055640852422812,-13.132577430913457,-0.8897129857583508,-1.2296157450796557,3.2457967186468153,0.40952760437417624,1.0873983739837314,-5.200520052005203,2.6094225831492253,3.5943426323065353,2.4577469530671294,3.397212543554005,-2.212939216878624,4.190507329300857,-1.8016479528668299,1.0943404469102802,1.629572364405746,0.09475486000734179,1.282697329240932,4.983550171975466
2009,2009-01-01,0.03194207836456542,0.09172809172808627,-0.14365026982956408,-16.13696314697674,-18.845742128382128,-0.5010519322334233,-5.386770092652455,-5.688755780085259,-4.21467556094602,-17.384882303291747,-2.5592417061611457,-7.183101245548258,0.05222141881577613,-4.804505323673482,-5.985361886690157,-0.9783587054357525,-0.5015128279520837,-0.09866630375613283,0.198629859337629,-5.414083096454931,-9.648272385310435,-3.681436658208071,-7.0016107474553735,-4.62911476868328,-1.9714343190504877,-1.2934518997574571,-0.7160909856781785,-0.32204691839507404,1.795580110497255,-0.4210443473812546,-6.038803376918452,-6.890705311250713,-3.106714121976239,-21.887272213589483,-4.178785353813268,-2.0192052226060184,1.4070648430581514,-6.971053153729116,-2.1388358298984542,-8.810704364032773,-0.8321694599627563,1.6287425149700425,-0.6407728706624596,1.290293974194114,-5.769750716487337,-5.606694560669453,-5.860614755880178,-2.0007778401970597,-6.643979581623455,-2.565120469050612,-1.2483603962187289,-0.2599622520565532
