AK,1975,1,61.55
AK,1975,2,63.09
AK,1975,3,67.82
AK,1975,4,65.43
AK,1976,1,69.62
AK,1976,2,71.59
AK,1976,3,73.47
AK,1976,4,74.17
AK,1977,1,78.42
AK,1977,2,75.82
AK,1977,3,77.89
AK,1977,4,79.92
AK,1978,1,76.45
AK,1978,2,85.31
AK,1978,3,87.1
AK,1978,4,86.59
AK,1979,1,89.08
AK,1979,2,99.59
AK,1979,3,96.04
AK,1979,4,94.93
AK,1980,1,100
AK,1980,2,82.21
AK,1980,3,71.27
AK,1980,4,92.43
AK,1981,1,87.24
AK,1981,2,107.46
AK,1981,3,115.01
AK,1981,4,127.33
AK,1982,1,134.56
AK,1982,2,128.82
AK,1982,3,139.12
AK,1982,4,138.08
AK,1983,1,137.17
AK,1983,2,138.89
AK,1983,3,144.6
AK,1983,4,144.28
AK,1984,1,148.16
AK,1984,2,146.29
AK,1984,3,152.57
AK,1984,4,150.55
AK,1985,1,143.22
AK,1985,2,143.39
AK,1985,3,143.76
AK,1985,4,140.15
AK,1986,1,140.91
AK,1986,2,143.23
AK,1986,3,138.64
AK,1986,4,135.35
AK,1987,1,132.01
AK,1987,2,122.75
AK,1987,3,114.73
AK,1987,4,103.62
AK,1988,1,119.7
AK,1988,2,113.71
AK,1988,3,125.17
AK,1988,4,130.52
AK,1989,1,126.96
AK,1989,2,102.83
AK,1989,3,102.83
AK,1989,4,100.71
AK,1990,1,97.29
AK,1990,2,110.71
AK,1990,3,120.36
AK,1990,4,117.66
AK,1991,1,122.87
AK,1991,2,125.74
AK,1991,3,129.63
AK,1991,4,129.9
AK,1992,1,131.26
AK,1992,2,132.71
AK,1992,3,133.49
AK,1992,4,134.25
AK,1993,1,133.88
AK,1993,2,134.42
AK,1993,3,136.73
AK,1993,4,137.46
AK,1994,1,138.66
AK,1994,2,141.82
AK,1994,3,143.94
AK,1994,4,142.64
AK,1995,1,145.28
AK,1995,2,147.57
AK,1995,3,149.07
AK,1995,4,149.22
AK,1996,1,151.96
AK,1996,2,154.36
AK,1996,3,155.28
AK,1996,4,156.97
AK,1997,1,156.93
AK,1997,2,157.95
AK,1997,3,159.2
AK,1997,4,161.14
AK,1998,1,160.98
AK,1998,2,163.66
AK,1998,3,165.06
AK,1998,4,164.97
AK,1999,1,166.89
AK,1999,2,170.44
AK,1999,3,169.98
AK,1999,4,170.23
AK,2000,1,170.13
AK,2000,2,172.05
AK,2000,3,173.19
AK,2000,4,173.79
AK,2001,1,176.77
AK,2001,2,180.31
AK,2001,3,182.99
AK,2001,4,183.29
AK,2002,1,186.21
AK,2002,2,191.41
AK,2002,3,192.82
AK,2002,4,192.4
AK,2003,1,193.58
AK,2003,2,196.6
AK,2003,3,201.03
AK,2003,4,208.76
AK,2004,1,210.25
AK,2004,2,215.35
AK,2004,3,226.39
AK,2004,4,228.7
AK,2005,1,234.34
AK,2005,2,243.52
AK,2005,3,252
AK,2005,4,259.59
AK,2006,1,263.72
AK,2006,2,270.26
AK,2006,3,275.33
AK,2006,4,277.12
AK,2007,1,280.89
AK,2007,2,283.85
AK,2007,3,282.5
AK,2007,4,281.99
AK,2008,1,281.82
AK,2008,2,282.13
AK,2008,3,279.02
AK,2008,4,281.54
AK,2009,1,281.94
AK,2009,2,279.12
AK,2009,3,278.06
AK,2009,4,279.47
AK,2010,1,275.23
AK,2010,2,277.53
AK,2010,3,279.09
AK,2010,4,279.92
AK,2011,1,279.87
AK,2011,2,279.15
AK,2011,3,279.86
AK,2011,4,282.15
AK,2012,1,279.86
AK,2012,2,279.64
AK,2012,3,281.9
AK,2012,4,284.68
AK,2013,1,287.76
AK,2013,2,288.99
AK,2013,3,291.9
AK,2013,4,292.84
AK,2014,1,290.03
AK,2014,2,296.59
AK,2014,3,299.47
AK,2014,4,299.63
AK,2015,1,301.6
AK,2015,2,304.83
AK,2015,3,308.37
AK,2015,4,310.88
AK,2016,1,311.37
AK,2016,2,314.66
AK,2016,3,315.37
AK,2016,4,313.63
AK,2017,1,315.48
AK,2017,2,317
AK,2017,3,321.52
AK,2017,4,324.13
AK,2018,1,320.98
AK,2018,2,324.95
AL,1975,1,73.13
AL,1975,2,71.81
AL,1975,3,74.26
AL,1975,4,70.7
AL,1976,1,76.92
AL,1976,2,76.55
AL,1976,3,77.3
AL,1976,4,79.75
AL,1977,1,81.68
AL,1977,2,83.7
AL,1977,3,88.29
AL,1977,4,89.47
AL,1978,1,88.51
AL,1978,2,88.95
AL,1978,3,96.91
AL,1978,4,96.35
AL,1979,1,99.91
AL,1979,2,100.52
AL,1979,3,102.07
AL,1979,4,108.88
AL,1980,1,100
AL,1980,2,103.87
